num,region
00,전체
11,목포시
12,여수시
13,순천시
14,나주시
15,여천시
17,광양시
32,담양군
33,곡성군
34,구례군
36,여천군
38,고흥군
39,보성군
40,화순군
41,장흥군
42,강진군
43,해남군
44,영암군
45,무안군
47,함평군
48,영광군
49,장성군
50,완도군
51,진도군
52,신안군
53,승주군
ZZ,전남전역
