num,region
00,전체
11,천안시
12,공주시
15,서산시
16,아산시
17,보령시
18,계룡시
31,금산군
35,논산시
36,부여군
37,서천군
39,청양군
40,홍성군
41,예산군
43,당진시
46,태안군
ZZ,충남전역
