num,region
00,전체
11,중구
12,서구
13,동구
14,영도구
15,부산진구
16,동래구
17,남구
18,북구
19,해운대구
20,사하구
21,금정구
22,강서구
23,연제구
24,수영구
25,사상구
26,기장군
ZZ,부산전역
