num,region
00,전체
13,진주시
50,창원시
18,김해시
22,밀양시
25,통영시
26,거제시
27,사천시
32,의령군
33,함안군
34,창녕군
36,양산시
39,의창군
42,고성군
44,남해군
45,하동군
46,산청군
47,함양군
48,거창군
49,합천군
ZZ,경남전역
