num,region
00,전체
11,전주시
12,군산시
15,남원시
16,김제시
17,정읍시
18,익산시
31,완주군
32,진안군
33,무주군
34,장수군
35,임실군
37,순창군
39,고창군
40,부안군
ZZ,전북전역
