ccbaLcto_item,ccbaLctoNm_item
00,전체
11,춘천시
12,원주시
13,강릉시
14,동해시
15,태백시
16,속초시
17,삼척시
32,홍천군
33,횡성군
35,영월군
36,평창군
37,정선군
38,철원군
39,화천군
40,양구군
41,인제군
42,고성군
43,양양군
44,명주군
99,강원도일원
ZZ,강원전역
