ccbaCpno_item,ccbaMnm1_item
1111101510300,조선왕조실록 오대산사고본
1111101510400,조선왕조실록 적상산사고본
1113101510500,조선왕조실록 봉모당본
1111101510600,조선왕조실록 낙질 및 산엽본
1111101520000,비변사등록
1111101530000,일성록
1113401540000,무령왕 금제 관식
1113401550000,무령왕비 금제 관식
1113401560000,무령왕 금귀걸이
1113401570000,무령왕비 금귀걸이
1113401580000,무령왕비 금목걸이
1113401590000,무령왕 금제 뒤꽂이
1113401600000,무령왕비 은팔찌
1113401610000,무령왕릉 청동거울 일괄
1113401620000,무령왕릉 석수
1113401630000,무령왕릉 지석
1113401640000,무령왕비 베개
1113401650000,무령왕 발받침
1111101660000,백자 철화매죽문 항아리
1111101670000,청자 인물형 주전자
1111101690000,청자 양각죽절문 병
1111101700000,백자 청화매조죽문 유개항아리
1111101710000,청동 은입사 봉황문 합
1111101720000,진양군 영인정씨묘 출토 유물
1111101730000,청자 퇴화점문 나한좌상
1111101740000,금동 수정 장식 촛대
1111101750000,백자 상감연화당초문 대접
1111101760000,백자 청화‘홍치2년’명 송죽문 항아리
1111101770000,분청사기 인화국화문 태항아리
1111101780000,분청사기 음각어문 편병
1111101790000,분청사기 박지연화어문 편병
1111101800000,김정희 필 세한도
1113701810000,장양수 홍패
1112201820000,구미 선산읍 금동여래입상
1112201830000,구미 선산읍 금동보살입상(1976-1)
1112201840000,구미 선산읍 금동보살입상(1976-2)
1111101850000,상지은니 묘법연화경
1111101860000,양평 신화리 금동여래입상
1113701870000,영양 산해리 오층모전석탑
1113701880000,천마총 금관
1113701890000,천마총 관모
1113701900000,천마총 금제 허리띠
1113701910000,황남대총 북분 금관
1113701920000,황남대총 북분 금제 허리띠
1113701930000,경주 98호 남분 유리병 및 잔
1113701940000,황남대총 남분 금목걸이
1113701950000,토우장식 장경호
1111101960000,"신라백지묵서 대방광불화엄경 주본 권1~10, 44~50"
1113301970000,충주 청룡사지 보각국사탑
1113301980000,단양 신라 적성비
1113701990000,경주 단석산 신선사 마애불상군
1112102000000,금동보살입상(1979)
1113702010000,봉화 북지리 마애여래좌상
1111102020000,대방광불화엄경 진본 권37
1111102030000,대방광불화엄경 주본 권6
1111102040000,대방광불화엄경 주본 권36
1113302050000,충주 고구려비
1113802060000,합천 해인사 고려목판
1111102070000,경주 천마총 장니 천마도
1113702080000,도리사 세존사리탑 금동 사리기
1111102090000,보협인석탑
1111102100000,감지은니 불공견삭신변진언경 권13
1111102110000,백지묵서 묘법연화경
1111102120000,대불정여래밀인수증요의제보살만행수능엄경(언해)
1111102130000,금동탑
1111102140000,흥왕사명 청동 은입사 향완
1111102150000,감지은니 대방광불화엄경 정원본 권31
1111102160000,정선 필 인왕제색도
1111102170000,정선 필 금강전도
1111102180000,아미타삼존도
1111102190000,백자 청화매죽문 항아리
1111102200000,청자 상감용봉모란문 합 및 탁
1113202210000,평창 상원사 목조문수동자좌상
1111102220000,백자 청화매죽문 유개항아리
1111102230000,경복궁 근정전
1111102240000,경복궁 경회루
1111102250000,창덕궁 인정전
1111102260000,창경궁 명정전
1111102270000,종묘 정전
1111102280000,천상열차분야지도 각석
1111102290000,창경궁 자격루 누기
1111102300000,혼천의 및 혼천시계
1111102310000,전 영암 거푸집 일괄
1113502320000,이화 개국공신녹권
1113802330100,산청 석남암사지 석조비로자나불좌상
1112102330000,산청 석남암사지 석조비로자나불좌상 납석사리호
1111102340000,감지은니 묘법연화경
1111102350000,감지금니 대방광불화엄경보현행원품
1113702360000,경주 장항리 서 오층석탑
1111102370000,고산구곡시화도 병풍
1111102380000,소원화개첩
1111102390000,송시열 초상
1113602400000,윤두서 자화상
1113102410000,초조본 대반야바라밀다경 권249
1113702420000,울진 봉평리 신라비
1111102430000,초조본 현양성교론 권11
1113102440000,초조본 유가사지론 권17
1111102450000,초조본 신찬일체경원품차록 권20
1111102460000,초조본 대보적경 권59
1113402470000,공주 의당 금동보살입상
1113102480000,조선방역지도
1111102490000,동궐도(1989)
1112102490200,동궐도(1995)
1111102500000,이원길 개국원종공신녹권
1111102510000,초조본 대승아비달마잡집론 권14
1111102520000,청자 음각‘효문’명 연화문 매병
1111102530000,청자 양각연화당초상감모란문 은테 발
1111102540000,청자 음각연화문 유개매병
