ccbaAsno_item,ccbaKdcd_item,ccbaCtcd_item
00400000,12,35
00410000,12,35
00420000,12,35
00430000,12,35
00450000,12,35
00460000,12,35
00470000,12,34
00490000,12,36
00500000,12,36
00510000,12,37
00520000,12,37
00530000,12,37
00540000,12,37
00560000,12,37
00570000,12,37
00580000,12,37
00590000,12,37
00600000,12,37
00610000,12,37
00620000,12,37
00630000,12,37
00640000,12,37
00650000,12,37
00660000,12,37
00670000,12,37
00680000,12,37
00690000,12,37
00700000,12,37
00710000,12,38
00720000,12,38
00730000,12,38
00740000,12,38
00750000,12,38
00760000,12,32
00770000,12,32
00780000,12,32
00790000,12,32
00800000,12,32
00810000,12,32
00820000,12,32
00830000,12,32
00840000,12,32
00850000,12,32
00860000,12,32
00870000,12,32
00880000,12,36
00890000,12,36
00900000,12,36
00910000,12,31
00920000,12,31
00930000,12,31
00940000,12,33
00950000,12,33
00960000,12,33
00970000,12,33
00980000,12,33
00990000,12,34
01000000,12,34
01010000,12,34
01020000,12,34
01030000,12,34
01040000,12,34
01050000,12,34
01060000,12,34
01070000,12,34
01080000,12,34
01090000,12,24
01100000,12,24
01110000,12,36
01120000,12,36
01130000,12,37
01140000,12,37
01150000,12,37
01160000,12,37
01170000,12,37
01180000,12,37
01190000,12,37
01200000,12,37
01210000,12,37
01220000,12,37
01230000,12,37
01240000,12,37
01250000,12,37
01260000,12,37
01270000,12,37
01280000,12,38
01290000,12,38
01310000,12,24
01320000,12,36
01330000,12,36
01340000,12,36
01350000,12,22
01360000,12,37
01370000,12,37
01410000,12,11
01420000,12,11
01430000,12,34
01460000,12,38
01470000,12,38
01480000,12,34
01490000,12,34
01500000,12,34
01510000,12,36
01520000,12,36
01530000,12,36
01540000,12,36
01550000,12,36
01560000,12,36
01570000,12,36
01580000,12,36
01590000,12,38
01600000,12,37
01610000,12,23
01620000,12,34
01640000,12,32
01650000,12,32
01660000,12,11
01670000,12,35
01680000,12,37
01690000,12,37
01700000,12,36
01710000,12,37
01720000,12,37
01730000,12,26
01740000,12,34
01750000,12,36
01760000,12,36
01770000,12,11
01780000,12,23
01790000,12,23
01800000,12,31
01810000,12,34
01820000,12,37
01830000,12,32
01840000,12,34
01850000,12,34
01860000,12,37
01870000,12,37
01880000,12,37
01890000,12,37
01900000,12,11
01910000,12,32
01920000,12,32
01930000,12,37
01940000,12,34
01960000,12,34
01970000,12,34
01980000,12,37
01990000,12,37
02010000,12,37
02020000,12,22
02030000,12,37
02040000,12,36
02050000,12,36
02060000,12,36
02070000,12,36
02080000,12,37
02090000,12,25
02100000,12,37
02110000,12,37
02120000,12,38
02130000,12,32
02140000,12,32
02150000,12,11
02160000,12,33
02170000,12,34
02190000,12,34
02200100,12,37
02200200,12,37
02210000,12,37
02220000,12,38
02230000,12,32
02240000,12,34
02250000,12,31
02260000,12,31
02270000,12,38
02280000,12,31
02290000,12,31
02300000,12,31
02310000,12,31
02320000,12,34
02330000,12,34
02340000,12,35
02350000,12,11
02360000,12,35
02380000,12,11
02390000,12,37
02400000,12,11
02420000,12,37
02430000,12,22
02440000,12,22
02450000,12,37
02460000,12,37
02470000,12,22
02480000,12,22
02490000,12,37
02500000,12,21
02510000,12,37
02520000,12,37
02530000,12,38
02540000,12,22
02550000,12,37
02560000,12,34
02570000,12,34
02580000,12,22
02590000,12,11
02600000,12,36
02610000,12,37
02620000,12,37
02630000,12,36
02640000,12,38
02650000,12,38
02660000,12,38
02670000,12,35
02680000,12,22
02690100,12,11
02690200,12,11
02690300,12,21
02690400,12,11
02700000,12,11
02710000,12,22
02720000,12,35
02730000,12,36
02740000,12,36
02750000,12,36
02760000,12,35
02770000,12,35
02780000,12,11
02790000,12,35
02800000,12,35
02810000,12,35
02820000,12,11
02830000,12,11
02840000,12,11
02850000,12,11
02860000,12,11
02870000,12,11
02880000,12,31
02890000,12,35
02900000,12,35
02910000,12,35
02920000,12,35
02940000,12,38
02950000,12,38
02960000,12,37
02970000,12,37
02980000,12,36
02990000,12,36
03000000,12,36
03010000,12,36
03020000,12,36
03030000,12,36
03040000,12,36
03050000,12,37
03060000,12,37
03070000,12,37
03080000,12,35
03090000,12,35
03100000,12,38
03110000,12,24
03120000,12,38
03130000,12,36
03140000,12,37
03150000,12,37
03160000,12,37
03170000,12,37
03180000,12,37
03190000,12,37
03200000,12,36
03210000,12,11
03220000,12,50
03230000,12,37
03250000,12,22
03260000,12,34
03270000,12,37
03280000,12,11
03290000,12,11
03300000,12,34
03310000,12,11
03320000,12,11
03330000,12,11
03340000,12,38
03350000,12,22
03360000,12,24
03380000,12,11
03390000,12,11
03400000,12,11
03420000,12,11
03430000,12,11
03440000,12,11
03450000,12,11
03460000,12,11
03470000,12,11
03480000,12,11
03490000,12,11
03500000,12,22
03510000,12,11
03520000,12,11
03530000,12,38
03540000,12,34
03550000,12,34
03560000,12,34
03570000,12,22
03580000,12,11
03590000,12,11
03600000,12,11
03610000,12,11
03620000,12,11
03630000,12,11
03640000,12,36
03650000,12,11
03660000,12,37
03670000,12,33
03680000,12,33
03690000,12,26
03700000,12,26
03710000,12,38
03720000,12,38
03730000,12,38
03740000,12,38
03750000,12,38
03760000,12,38
03770000,12,38
03780000,12,38
03790000,12,38
03800000,12,38
03810000,12,38
03820000,12,26
03830000,12,11
03840000,12,11
03850000,12,11
03860000,12,11
03870000,12,31
03880000,12,31
03890000,12,31
03900000,12,11
03910000,12,11
03920000,12,11
03930000,12,23
03940000,12,36
03950000,12,36
03960000,12,36
03970000,12,31
03990000,12,34
04000000,12,36
04010000,12,11
04020000,12,31
04030000,12,31
04040000,12,33
04050000,12,33
04060000,12,33
04070000,12,34
04080000,12,34
04090000,12,34
04110000,12,37
04120000,12,37
04130000,12,37
04140000,12,37
04150000,12,37
04160000,12,11
04170000,12,11
04180000,12,11
04190200,12,11
04190400,12,11
04200000,12,35
04210000,12,35
04220000,12,35
04230000,12,35
04240000,12,37
04250000,12,37
04260000,12,37
04270000,12,37
04280000,12,37
04290000,12,37
04300000,12,37
04310000,12,37
04330000,12,33
04340000,12,21
04350000,12,31
04360000,12,38
04370000,12,35
04380000,12,35
04390000,12,32
04400000,12,38
04410000,12,26
04420000,12,37
04430000,12,32
04440000,12,32
04450000,12,32
04460000,12,32
04470000,12,32
04480000,12,37
04490000,12,37
04500000,12,37
04510000,12,37
04520000,12,11
04530000,12,11
04540000,12,11
04550000,12,11
04560000,12,11
04570000,12,37
04590000,12,33
04600000,12,37
04610000,12,36
04620000,12,36
04630000,12,32
04640000,12,32
04650000,12,37
04660000,12,38
04670000,12,38
04680000,12,38
04690000,12,37
04700000,12,37
04710000,12,38
04720000,12,38
04730000,12,38
04740000,12,38
04750000,12,37
04770000,12,11
04780000,12,34
04800000,12,38
04810000,12,36
04820000,12,36
04830000,12,36
04840000,12,37
04850000,12,37
04860000,12,37
04870000,12,37
04880000,12,31
04890000,12,38
04900000,12,37
04910000,12,38
04920000,12,37
04930000,12,38
04940000,12,37
04950000,12,38
04960000,12,32
04970000,12,32
04980000,12,37
04990000,12,32
05000000,12,38
05010000,12,37
05020000,12,37
05030000,12,36
05040000,12,36
05050000,12,36
05060000,12,36
05070000,12,36
05080000,12,34
05090000,12,36
05100000,12,37
05110000,12,33
05120000,12,33
05130000,12,37
05140000,12,37
05150000,12,11
05160000,12,22
05170000,12,37
05180000,12,38
05190000,12,38
05200000,12,38
05210000,12,37
05220000,12,11
05230000,12,11
05230200,12,11
05230300,12,11
05240000,12,37
05240200,12,37
05260000,12,37
05260200,12,37
05270000,12,11
05280000,12,33
05290000,12,36
05300000,12,38
05310000,12,31
05320000,12,33
05330000,12,33
05340000,12,33
05350000,12,33
05360000,12,34
05370000,12,34
05380000,12,34
05390000,12,22
05400000,12,32
05410000,12,32
05420000,12,32
05430000,12,32
05440000,12,32
05450000,12,32
05460000,12,33
05470100,12,11
05470200,12,50
05480100,12,37
05480200,12,37
05490000,12,37
05500000,12,11
05510000,12,11
05520000,12,11
05530000,12,37
05540000,12,22
05550000,12,11
05560000,12,11
05570000,12,11
05580000,12,11
05590000,12,11
05600000,12,11
05620000,12,37
05630000,12,36
05640000,12,38
05650000,12,31
05660000,12,33
05670000,12,31
05680100,12,11
05680200,12,34
05680300,12,34
05690100,12,11
05690200,12,11
05690300,12,11
05690400,12,11
05690500,12,11
05690600,12,21
05690700,12,11
05690800,12,11
05690900,12,11
05691000,12,11
05691100,12,34
05691200,12,11
05691300,12,11
05691400,12,11
05691500,12,38
05691600,12,21
05691700,12,11
05691800,12,11
05691900,12,11
05692000,12,11
05692100,12,31
05692200,12,11
05692300,12,11
05692400,12,50
05692500,12,11
05692600,12,38
05692700,12,31
05692800,12,31
05692900,12,11
05693000,12,11
05693100,12,11
05700000,12,11
05710000,12,36
05720000,12,36
05730000,12,11
05740000,12,21
05750000,12,37
05760000,12,11
05770000,12,11
05780000,12,36
05790000,12,11
05800000,12,11
05810000,12,37
05820000,12,34
05830000,12,35
05840000,12,36
05850000,12,11
05860100,12,37
05860200,12,37
05870000,12,24
05880000,12,11
05890000,12,11
05900000,12,11
05910000,12,11
05920100,12,11
05920200,12,11
05920300,12,21
05920400,12,11
05930000,12,11
05940000,12,36
05950000,12,21
05970000,12,21
05980000,12,21
05990000,12,21
06000000,12,24
06010000,12,22
06020000,12,32
06030000,12,32
06040000,12,37
06050000,12,37
06060000,12,37
06070000,12,37
06080000,12,35
06090000,12,37
06100000,12,37
06110000,12,31
06120000,12,32
06130000,12,33
06140000,12,38
06150000,12,23
06160000,12,37
06170000,12,37
06180000,12,37
06190000,12,37
06200000,12,37
06210000,12,37
06220000,12,37
06230000,12,37
06240000,12,11
06250000,12,37
06260000,12,37
06270000,12,11
06280000,12,37
06290000,12,11
06300000,12,11
06310000,12,37
06320000,12,37
06330000,12,37
06340000,12,37
06350000,12,37
06360000,12,37
06370000,12,38
06380000,12,11
06400000,12,11
06410000,12,11
06420000,12,11
06430000,12,11
06440000,12,11
06450000,12,11
06460000,12,33
06470000,12,38
06480000,12,11
06490000,12,45
06500000,12,45
06510000,12,35
06520000,12,37
06530000,12,11
06540000,12,11
06550000,12,37
06560000,12,33
06570000,12,11
06580000,12,33
06590000,12,11
06600000,12,36
06610000,12,37
06620000,12,35
06640000,12,33
06650000,12,37
06660000,12,37
06670000,12,37
06680000,12,38
06690000,12,37
06700000,12,37
06710000,12,38
06720000,12,11
06730000,12,22
06740000,12,37
06750000,12,37
06760000,12,37
06770000,12,37
06780000,12,37
06790000,12,37
06800000,12,37
06810000,12,37
06820000,12,37
06830000,12,37
06850000,12,11
06860000,12,11
06870000,12,11
06880000,12,11
06890000,12,11
06900000,12,11
06910000,12,11
06920100,12,21
06920200,12,11
06930000,12,11
06940100,12,11
06940200,12,36
06950000,12,11
06960000,12,11
06970000,12,11
06980000,12,11
06990000,12,11
07000100,12,11
07000200,12,33
07010000,12,11
07020000,12,11
07030100,12,11
07030200,12,11
07040000,12,11
07050000,12,11
07060000,12,11
07070000,12,11
07080000,12,11
07090000,12,11
07100100,12,11
07100200,12,11
07100300,12,11
07100400,12,11
07100500,12,11
07100600,12,22
07150000,12,31
07160000,12,33
07170000,12,37
07180000,12,35
07190000,12,11
07200100,12,11
07200200,12,33
07210000,12,11
07220000,12,11
07240000,12,34
07250000,12,35
07260000,12,35
07270000,12,34
07280000,12,35
07290000,12,37
07300000,12,37
07310000,12,21
07320000,12,21
07330100,12,21
07330200,12,31
07340000,12,38
07350000,12,37
07360000,12,11
07370000,12,36
07380000,12,38
07390000,12,35
07400000,12,11
07410000,12,11
07420000,12,11
07430000,12,11
07440000,12,11
07450100,12,11
07450200,12,11
07450300,12,11
07450400,12,11
07450500,12,32
07450600,12,11
07450700,12,11
07450800,12,11
07450900,12,36
07451000,12,35
07451100,12,11
07460000,12,35
07470000,12,37
07480000,12,11
07490000,12,31
07500000,12,32
07510000,12,11
07520000,12,11
07530000,12,11
07540000,12,11
07550000,12,11
07560000,12,11
07570000,12,38
07580100,12,11
07580200,12,38
07590000,12,11
07600000,12,11
07610000,12,11
07620000,12,11
07630000,12,11
07640000,12,11
07650000,12,11
07660100,12,11
07660200,12,38
07670100,12,11
07670200,12,11
07670300,12,11
07670400,12,11
07690000,12,11
07700000,12,11
07710000,12,11
07720100,12,11
07720200,12,11
07720300,12,36
07720400,12,22
07740100,12,11
07740200,12,38
07740300,12,22
07750000,12,11
07760000,12,11
07770000,12,11
07780000,12,11
07790000,12,11
07800000,12,11
07810000,12,11
07820000,12,11
07830000,12,11
07840000,12,11
07850000,12,11
07860000,12,11
07870000,12,11
07880000,12,11
07890000,12,11
07900000,12,37
07910000,12,11
07920000,12,35
07930000,12,32
07940000,12,34
07950000,12,36
07960000,12,36
07970000,12,36
07980000,12,36
07990000,12,34
08000000,12,34
08010000,12,34
08020000,12,34
08030000,12,35
08040000,12,36
08050000,12,22
08060000,12,11
08070000,12,11
08080000,12,11
08090000,12,11
08100000,12,11
08110000,12,11
08120000,12,11
08130000,12,11
08140000,12,11
08150000,12,11
08160000,12,11
08170000,12,11
08180000,12,11
08190000,12,11
08200000,12,11
08210000,12,11
08220000,12,31
08230000,12,31
08240000,12,31
08250000,12,35
08260000,12,35
08270000,12,35
08280000,12,35
08290000,12,36
08300000,12,36
08310000,12,36
08320000,12,37
08330000,12,37
08340000,12,37
08350000,12,37
08360000,12,37
08370000,12,11
08380000,12,11
08390000,12,11
08400000,12,11
08410000,12,11
08430000,12,11
08450000,12,11
08460000,12,11
08470000,12,11
08480000,12,33
08490000,12,11
08500100,12,11
08500200,12,11
08500300,12,11
08510000,12,11
08520000,12,11
08530000,12,11
08540000,12,11
08550000,12,11
08560000,12,11
08570000,12,38
08580000,12,38
08590000,12,38
08600000,12,11
08610100,12,11
08610200,12,11
08620000,12,38
08630000,12,21
08650000,12,11
08660000,12,11
08670000,12,11
08680000,12,11
08690000,12,11
08700000,12,11
08710000,12,11
08720000,12,37
08730000,12,25
08740000,12,31
08750100,12,36
08750200,12,11
08750300,12,36
08760000,12,37
08770000,12,11
08780000,12,37
08790000,12,37
08800000,12,37
08810000,12,37
08820000,12,11
08830000,12,11
08840000,12,37
08850000,12,38
08860000,12,11
08870000,12,11
08880000,12,11
08890000,12,11
08900000,12,11
08910000,12,11
08920000,12,11
08930000,12,11
08940100,12,11
08940200,12,21
08950000,12,11
08960000,12,37
08970000,12,11
08980000,12,11
08990000,12,11
09000000,12,35
09010000,12,37
09020000,12,37
09030000,12,11
09040000,12,11
09050000,12,37
09060000,12,37
09070000,12,37
09080000,12,37
09090000,12,37
09100000,12,37
09110000,12,37
09120000,12,37
09130000,12,37
09140000,12,35
09150000,12,33
09160000,12,33
09170000,12,37
09180000,12,11
09190000,12,11
09200000,12,11
09210000,12,11
09210300,12,21
09220000,12,37
09230000,12,37
09240000,12,36
09250000,12,38
09260000,12,11
09270000,12,11
09280000,12,11
09300000,12,31
09320000,12,11
09330000,12,11
09340000,12,11
09350000,12,11
09360100,12,11
09360200,12,11
09370000,12,11
09380000,12,11
09390000,12,11
09400000,12,11
09410100,12,31
09410200,12,31
09420000,12,35
09430000,12,36
09440000,12,36
09450000,12,36
09460000,12,36
09470000,12,36
09480100,12,11
09480200,12,31
09490000,12,11
09500000,12,11
09510000,12,38
09520000,12,34
09530000,12,11
09540000,12,11
09550000,12,36
09560000,12,36
09570000,12,22
09580000,12,37
09590000,12,37
09600000,12,33
09610100,12,38
09610200,12,21
09610300,12,22
09620000,12,33
09630000,12,33
09640000,12,33
09650100,12,33
09650200,12,26
09660000,12,33
09670000,12,11
09680000,12,11
09690000,12,11
09700000,12,11
09710000,12,11
09720000,12,11
09730000,12,11
09740000,12,11
09750000,12,11
09760000,12,11
09770000,12,33
09780000,12,31
09790000,12,34
09800000,12,31
09810000,12,31
09820000,12,31
09830000,12,31
09840000,12,33
09850000,12,33
09860000,12,34
09870000,12,34
09880000,12,37
09890100,12,37
09890200,12,37
09900000,12,37
09910000,12,37
09920000,12,22
09930000,12,37
09940000,12,23
09950000,12,37
09960100,12,37
09960200,12,37
09970000,12,22
09980000,12,38
10000000,12,11
10010000,12,38
10020000,12,37
10030000,12,37
10040100,12,37
10040200,12,37
10050000,12,37
10060000,12,26
10070000,12,34
10080000,12,37
10090000,12,11
10100100,12,11
10100200,12,31
10110000,12,11
10120000,12,37
10130000,12,33
10140000,12,33
10150000,12,33
10160000,12,33
10170000,12,33
10180000,12,37
10190000,12,37
10200000,12,38
10220000,12,11
10230000,12,11
10240000,12,11
10250000,12,11
10260000,12,11
10270000,12,11
10280000,12,11
10290000,12,11
10300000,12,11
10310000,12,11
10320000,12,11
10330000,12,11
10340000,12,11
10350000,12,11
10360000,12,11
10370000,12,11
10380000,12,11
10390000,12,11
10400000,12,36
10410000,12,38
10420000,12,38
10430000,12,36
10440000,12,36
10450000,12,11
10460000,12,11
10470000,12,11
10480000,12,11
10490000,12,33
10500000,12,33
10510100,12,31
10510200,12,22
10510300,12,33
10510400,12,38
10510500,12,11
10520000,12,31
10530000,12,31
10540000,12,11
10550000,12,11
10560000,12,11
10570000,12,11
10580000,12,11
10590000,12,11
10600000,12,11
10610000,12,11
10620000,12,11
10630000,12,11
10640000,12,11
10650000,12,31
10660000,12,11
10670000,12,11
10680000,12,11
10690000,12,11
10700000,12,11
10710000,12,11
10720000,12,11
10730000,12,11
10740000,12,11
10750000,12,11
10760000,12,11
10770100,12,11
10770200,12,11
10780100,12,38
10780200,12,11
10780300,12,11
10790000,12,11
10800000,12,11
10810000,12,11
10820000,12,11
10830000,12,11
10860000,12,11
10870100,12,11
10870200,12,11
10880100,12,11
10880200,12,33
10890000,12,11
10900100,12,11
10900200,12,38
10910100,12,11
10910200,12,32
10920000,12,21
10930000,12,11
10940000,12,21
10950000,12,31
10960000,12,38
10970000,12,11
