ccbaCpno_item,ccbaMnm1_item
1123500260000,김제 금산사 금강계단
1123500270000,김제 금산사 육각 다층석탑
1123500280000,김제 금산사 당간지주
1123500290000,김제 금산사 심원암 삼층석탑
1123500300000,남원 만복사지 오층석탑
1123500310000,남원 만복사지 석조대좌
1123500320000,남원 만복사지 당간지주
1123500330000,남원 실상사 수철화상탑
1123500340000,남원 실상사 수철화상탑비
1123500350000,남원 실상사 석등
1123500360000,남원 실상사 승탑
1123500370000,남원 실상사 동·서 삼층석탑
1123500380000,남원 실상사 증각대사탑
1123500390000,남원 실상사 증각대사탑비
1123500400000,남원 실상사 백장암 석등
1123500410000,남원 실상사 철조여래좌상
1123500420000,남원 용담사지 석조여래입상
1123500430000,남원 만복사지 석조여래입상
1123500450000,익산 연동리 석조여래좌상
1123500460000,익산 고도리 석조여래입상
1123400470000,보령 성주사지 서 삼층석탑
1123600490000,나주 동점문 밖 석당간
1123600500000,나주 북망문 밖 삼층석탑
1123700510000,문경 내화리 삼층석탑
1123700520000,봉화 서동리 동·서 삼층석탑
1123700530000,예천 개심사지 오층석탑
1123700540000,고령 지산리 당간지주
1123700560000,안동 운흥동 오층전탑
1123700570000,안동 조탑리 오층전탑
1123700580000,안동 안기동 석조여래좌상
1123700590000,영주 숙수사지 당간지주
1123700600000,영주 영주동 석조여래입상
1123700610000,경주 불국사 사리탑
1123700620000,경주 서악동 마애여래삼존입상
1123700630000,경주 배동 석조여래삼존입상
1123700640000,경주 보문사지 석조
1123700650000,경주 서악동 삼층석탑
1123700660000,경주 석빙고
1123700670000,경주 효현동 삼층석탑
1123700680000,경주 황남동 효자 손시양 정려비
1123700690000,경주 망덕사지 당간지주
1123700700000,경주 서악동 귀부
1123800710000,함안 대산리 석조삼존상
1123800720000,산청 단속사지 동 삼층석탑
1123800730000,산청 단속사지 서 삼층석탑
1123800740000,양산 통도사 국장생 석표
1123800750000,창녕 송현동 마애여래좌상
1123200760000,춘천 근화동 당간지주
1123200770000,춘천 칠층석탑
