ccbaCpno,ccbaKdcd,ccmaName,crltsnoNm,ccbaMnm1,ccbaMnm2,ccbaCtcd,ccbaCtcdNm,ccsiName,ccbaAdmin,ccbaAsno,longitude,latitude,ccbaPcd1,ccbaPcd1Nm
1331100110000,13,사적,11,서울 풍납동 토성,서울 風納洞 土城,11,서울,송파구,서울 송파구,00110000,127.115877984587,37.5339393850176,12,백제
1333400120000,13,사적,12,공주 공산성,公州 公山城,34,충남,공주시,공주시,00120000,127.1265203,36.46388064,12,백제
1333700200000,13,사적,20,경주 무열왕릉,慶州 武烈王陵,37,경북,경주시,경주시,00200000,129.187876707128,35.8251520779403,13,신라
1333700260000,13,사적,26,경주 원성왕릉,慶州 元聖王陵,37,경북,경주시,경주시,00260000,129.320216,35.759664,20,통일신라
1333400340000,13,사적,34,부여 청마산성,扶餘 靑馬山城,34,충남,부여군,부여군,00340000,126.963743459469,36.2851498763301,12,백제
1333400580000,13,사적,58,부여 나성,扶餘 羅城,34,충남,부여군,부여군,00580000,126.931092698918,36.2827145180201,12,백제
1333400590000,13,사적,59,부여 청산성,扶餘 靑山城,34,충남,부여군,부여군,00590000,126.927710185399,36.294304832129,12,백제
1333400600000,13,사적,60,서천 건지산성,舒川 乾芝山城,34,충남,서천군,서천군,00600000,126.7915561,36.08759331,12,백제
1333700610000,13,사적,61,고령 주산성,高靈 主山城,37,경북,고령군,고령군,00610000,128.258239258425,35.733365777796,14,가야
1332200620000,13,사적,62,대구 달성,大邱 達城,22,대구,중구,대구 중구,00620000,128.577659106867,35.8738752888425,13,신라
1333800640000,13,사적,64,창녕 화왕산성,昌寧 火旺山城,38,경남,창녕군,창녕군,00640000,128.535099,35.54535599,14,가야
1333800650000,13,사적,65,창녕 목마산성,昌寧 牧馬山城,38,경남,창녕군,창녕군,00650000,128.5090423,35.54404982,14,가야
1333800660000,13,사적,66,김해 분산성,金海 盆山城,38,경남,김해시,김해시,00660000,128.891904882375,35.2452834217473,14,가야
1333800670000,13,사적,67,함안 성산산성,咸安 城山山城,38,경남,함안군,함안군,00670000,128.4228352,35.25580893,13,신라
1333400890000,13,사적,89,부여 석성산성,扶餘 石城山城,34,충남,부여군,부여군,00890000,126.978900137968,36.2392016921777,12,백제
1333400900000,13,사적,90,예산 임존성,禮山 任存城,34,충남,예산군,예산군,00900000,126.7789698,36.588732,12,백제
1333500920000,13,사적,92,익산 토성,益山 土城,35,전북,익산시,익산시,00920000,127.037412713456,35.992312815244,12,백제
1333800930000,13,사적,93,양산 북정리 고분군,梁山 北亭里 古墳群,38,경남,양산시,양산시,00930000,129.049164920187,35.3567977786561,13,신라
1333800940000,13,사적,94,양산 신기리 고분군,梁山 新基里 古墳群,38,경남,양산시,양산시,00940000,129.049975,35.355511,13,신라
1333800950000,13,사적,95,양산 중부동 고분군,梁山 中部洞 古墳群,38,경남,양산시,양산시,00950000,129.047597190372,35.3412915692579,13,신라
1333501110000,13,사적,111,김제 벽골제,金堤 碧骨堤,35,전북,김제시,김제시,01110000,126.853382,35.754488,13,신라
1333801200000,13,사적,120,고성 내산리 고분군,固城 內山里 古墳群,38,경남,고성군,고성군,01200000,128.45338,35.04649691,14,가야
1333601270000,13,사적,127,진도 남도진성,珍島 南桃鎭城,36,전남,진도군,진도군,01270000,126.165057808449,34.3640640324228,30,고려
1332301300000,13,사적,130,강화 삼랑성,江華 三郞城,23,인천,강화군,강화군,01300000,126.487576,37.63125808,30,고려
1333401350000,13,사적,135,부여 궁남지,扶餘 宮南池,34,충남,부여군,부여군,01350000,126.912314087209,36.2696311567715,12,백제
1333101400000,13,사적,140,오산 독산성과 세마대지,烏山 禿山城과 洗馬臺址,31,경기,오산시,오산시,01400000,127.019018736197,37.1829144971645,12,백제
1333401560000,13,사적,156,부여 증산성,扶餘 甑山城,34,충남,부여군,부여군,01560000,126.86902370578,36.3179266723476,12,백제
1333701610000,13,사적,161,경주 동부 사적지대,慶州 東部 史蹟地帶,37,경북,경주시,경주시,01610000,129.220842324628,35.8342991358295,13,신라
1333101620000,13,사적,162,북한산성,北漢山城,31,경기,고양시,고양시,01620000,126.971538312904,37.6484437952756,12,백제
1333802140000,13,사적,214,산청 전 구형왕릉,山淸 傳 仇衡王陵,38,경남,산청군,산청군,02140000,127.800373790191,35.4493327104996,14,가야
1333102170000,13,사적,217,화성 당성,華城 唐城,31,경기,화성시,화성시,02170000,126.7151963,37.1921907,12,백제
1333702180000,13,사적,218,경산 병영유적,慶山 兵營遺蹟,37,경북,경산시,경산시,02180000,128.781252659802,35.8513348752365,13,신라
1331102340000,13,사적,234,아차산성,阿且山城,11,서울,광진구,서울 광진구,02340000,127.106032322071,37.5549631554831,12,백제
1332202620000,13,사적,262,대구 불로동 고분군,大邱 不老洞 古墳群,22,대구,동구,대구 동구,02620000,128.6443255,35.91337278,13,신라
1331102700000,13,사적,270,서울 방이동 고분군,서울 芳荑洞 古墳群,11,서울,송파구,서울 송파구,02700000,127.118688423505,37.5078198507299,12,백제
1333703110000,13,사적,311,경주 남산 일원,慶州 南山 一圓,37,경북,경주시,경주시,03110000,129.225621969664,35.7814480777656,13,신라
1333303190000,13,사적,319,청주 신봉동 고분군,淸州 新鳳洞 古墳群,33,충북,청주시,청주시,03190000,127.466413149077,36.6529017453712,12,백제
1333103520000,13,사적,352,하남 동사지,河南 桐寺址,31,경기,하남시,하남시,03520000,127.185733960108,37.5172458357822,30,고려
1333603530000,13,사적,353,담양 금성산성,潭陽 金城山城,36,전남,담양군,담양군,03530000,127.0318912,35.36409782,30,고려
1331103720000,13,사적,372,서울 양천고성지,서울 陽川古城址,11,서울,강서구,서울 강서구,03720000,126.840730041611,37.5749362679655,12,백제
1333604040000,13,사적,404,나주 복암리 고분군,羅州 伏岩里 古墳群,36,전남,나주시,나주시,04040000,126.650613161695,34.9955088790031,12,백제
1333104220000,13,사적,422,하남 이성산성,河南 二聖山城,31,경기,하남시,하남시,04220000,127.1882221,37.52239171,13,신라
1333404350000,13,사적,435,부여 금강사지,扶餘 金剛寺址,34,충남,부여군,부여군,04350000,126.857596487527,36.3411721629427,12,백제
1333104370000,13,사적,437,파주 칠중성,坡州 七重城,31,경기,파주시,파주시,04370000,126.919694583013,37.9642821132575,13,신라
1333204460000,13,사적,446,영월 정양산성,寧越 正陽山城,32,강원,영월군,고성군,04460000,128.504468101392,37.1565962051704,11,고구려
1333204470000,13,사적,447,원주 영원산성,原州 領願山城,32,강원,원주시,원주시,04470000,128.0376271,37.30959916,20,통일신라
1331104550000,13,사적,455,아차산 일대 보루군,阿且山 一帶 堡壘群,11,서울,광진구,"서울시, 구리시",04550000,127.098605769856,37.5737467889523,11,고구려
1333604560000,13,사적,456,나주 오량동 요지,羅州 五良洞 窯地,36,전남,나주시,나주시,04560000,126.671494268924,34.9826906490534,07,철기
1333104670000,13,사적,467,연천 호로고루,漣川 瓠蘆古壘,31,경기,연천군,연천군,04670000,126.859783266296,37.985421582815,11,고구려
1333104680000,13,사적,468,연천 당포성,漣川 堂浦城,31,경기,연천군,연천군,04680000,126.985426500092,38.0234928682018,11,고구려
1333104690000,13,사적,469,연천 은대리성,漣川 隱垈里城,31,경기,연천군,연천군,04690000,127.057169756456,38.0240541830601,11,고구려
1333704700000,13,사적,470,구미 황상동 고분군,龜尾 凰顙洞 古墳群,37,경북,구미시,구미시,04700000,128.420639677549,36.1145571683976,13,신라
1333704760000,13,사적,476,경주 황성동 고분,慶州 隍城洞 古墳,37,경북,경주시,경주시,04760000,129.211523157721,35.8670704607418,13,신라
1333705160000,13,사적,516,경산 임당동과 조영동 고분군,慶山 林堂洞과 造永洞 古墳群,37,경북,경산시,경산시,05160000,128.753285588966,35.8430757363108,13,신라
1333705170000,13,사적,517,경주 진지왕릉,慶州 眞智王陵,37,경북,경주시,경주시,05170000,129.184022041931,35.828862580412,13,신라
1333705180000,13,사적,518,경주 문성왕릉,慶州 文聖王陵,37,경북,경주시,경주시,05180000,129.18437609151,35.8283386223206,13,신라
1333105260000,13,사적,526,양주 대모산성,楊州 大母山城,31,경기,양주시,양주시,05260000,127.010438288032,37.7869534954043,12,백제
1332605280000,13,사적,528,울산 약사동 제방,蔚山 藥泗洞 堤防,26,울산,중구,울산 중구,05280000,129.337091039765,35.5763223866885,13,신라
1333105360000,13,사적,536,안성 도기동 산성,安城 道基洞 山城,31,경기,안성시,안성시,05360000,127.259033922321,36.9996769079036,12,백제
1333105370000,13,사적,537,파주 덕진산성,坡州 德津山城,31,경기,파주시,파주시,05370000,126.772719886999,37.9152890677069,11,고구려
1332105390000,13,사적,539,부산 연산동 고분군,釜山 蓮山洞 古墳群,21,부산,연제구,부산 연제구,05390000,129.091546267607,35.1866781581466,13,신라
1333505410000,13,사적,541,부안 죽막동 유적,扶安 竹幕洞 遺蹟,35,전북,부안군,부안군,05410000,126.460252535276,35.6352536319789,12,백제
1332205440000,13,사적,544,대구 구암동 고분군,大邱 鳩岩洞 古墳群,22,대구,북구,대구 북구,05440000,128.5674734,35.93143826,13,신라
1333505520000,13,사적,552,장수 동촌리 고분군,長水 東村里 古墳群,35,전북,장수군,장수군,05520000,127.528080365042,35.6444077075142,14,가야
1333705550000,13,사적,555,의성 금성면 고분군,義城 金城面 古墳群,37,경북,의성군,의성군,05550000,128.6770923,36.27389057,13,신라
1332305560000,13,사적,556,인천 계양산성,,23,인천,계양구,인천광역시 계양구,05560000,126.726777,37.550708,12,백제
1113302050000,11,국보,205,충주 고구려비,忠州 高句麗碑,33,충북,충주시,충주시,02050000,127.848500056674,37.0280868354749,11,고구려
1333304000000,13,사적,400,충주 장미산성,忠州 薔薇山城,33,충북,충주시,충주시,04000000,127.857142750845,37.046490935718,11,고구려
1333104030000,13,사적,403,포천 반월성,抱川 半月城,31,경기,포천시,포천시,04030000,127.218410134775,37.8939697758527,11,고구려
1113400090000,11,국보,9,부여 정림사지 오층석탑,扶餘 定林寺址 五層石塔,34,충남,부여군,부여군,00090000,126.913363436976,36.2792973520136,12,백제
